('15:48:11.587692', b'>\r\n', 'sent:1-15:48:11.483260*')
('15:48:11.611146', b'>\r\n', 'sent:1-15:48:11.587692*')
('15:48:11.700933', b'>\r\n', 'sent:1-15:48:11.611146*')
('15:48:11.725309', b'>\r\n', 'sent:1-15:48:11.700933*')
('15:48:11.856094', b'D2-15:48:11.748756************\r\n', '')
('15:48:11.859998', b'>\r\n', 'sent:1-15:48:11.856094*')
('15:48:11.883421', b'>\r\n', 'sent:1-15:48:11.859998*')
('15:48:11.907822', b'>\r\n', 'sent:1-15:48:11.883421*')
('15:48:11.933197', b'>\r\n', 'sent:1-15:48:11.907822*')
('15:48:11.957598', b'>\r\n', 'sent:1-15:48:11.933197*')
('15:48:11.982005', b'>\r\n', 'sent:1-15:48:11.957598*')
('15:48:12.005424', b'>\r\n', 'sent:1-15:48:11.982005*')
('15:48:12.027898', b'>\r\n', 'sent:1-15:48:12.005424*')
('15:48:12.138159', b'>\r\n', 'sent:1-15:48:12.027898*')
('15:48:12.162560', b'>\r\n', 'sent:1-15:48:12.138159*')
('15:48:12.308521', b'>\r\n', 'sent:1-15:48:12.162560*')
('15:48:12.331944', b'>\r\n', 'sent:1-15:48:12.308521*')
